archetype,account_age_days,followers,following,posts_per_day,profile_completeness,follow_burst_rate,posting_variance,engagement_rate,is_fake
spambot,17,69,7091,59.08,0.26,0.72,0.95,0.002,1
follow_bot,19,103,6243,1.23,0.56,0.94,0.59,0.0002,1
follow_bot,56,144,6493,0.39,0.42,0.95,0.46,0.0005,1
active_human,892,501,488,2.27,0.49,0.12,0.35,0.0651,0
active_human,373,84,137,2.47,0.78,0.15,0.26,0.1098,0
follow_bot,9,165,5427,0.54,0.37,0.87,0.6,0.0002,1
active_human,200,271,269,2.17,0.8,0.26,0.34,0.0786,0
spambot,20,69,5146,33.34,0.36,0.94,0.96,0.0007,1
follow_bot,6,193,5439,0.26,0.53,0.92,0.65,0.0011,1
spambot,6,66,7278,15.88,0.26,0.95,0.82,0.0006,1
compromised_bot,2480,376,7493,34.53,0.65,0.88,0.82,0.0013,1
spambot,16,43,6696,43.45,0.17,0.78,0.92,0.0028,1
active_human,475,343,433,2.03,0.83,0.16,0.24,0.0364,0
spambot,55,15,4425,46.62,0.25,0.74,0.98,0.0004,1
active_human,1426,160,158,1.52,0.64,0.23,0.12,0.0299,0
spambot,7,32,4251,56.59,0.4,0.75,0.87,0.0022,1
spambot,24,41,7195,54.79,0.44,0.71,0.92,0.0008,1
active_human,246,201,285,1.91,0.82,0.04,0.24,0.063,0
spambot,13,37,3955,19.01,0.43,0.85,0.94,0.002,1
lurker_human,599,89,310,0.12,0.48,0.02,0.19,0.0446,0
active_human,360,140,149,1.47,0.98,0.05,0.14,0.0946,0
creator_human,1301,15390,208,1.3,0.93,0.23,0.25,0.1187,0
active_human,503,137,169,0.33,0.9,0.16,0.19,0.0798,0
active_human,798,580,627,1.19,0.9,0.02,0.25,0.1054,0
spambot,23,26,4926,36.81,0.19,0.72,0.83,0.0014,1
spambot,16,17,3610,20.02,0.22,0.83,0.91,0.0015,1
compromised_bot,1676,1024,6456,13.98,0.76,0.86,0.65,0.0014,1
creator_human,1151,12323,486,4.46,0.97,0.17,0.28,0.1079,0
active_human,281,252,266,1.41,0.75,0.18,0.28,0.0575,0
active_human,219,301,355,0.32,0.87,0.18,0.31,0.1163,0
creator_human,1271,69507,246,3.09,0.91,0.12,0.18,0.1429,0
spambot,1,57,6733,20.02,0.23,0.72,0.86,0.0025,1
active_human,840,379,524,2.27,0.66,0.05,0.12,0.115,0
spambot,45,54,2469,49.7,0.4,0.81,0.98,0.0008,1
active_human,680,334,470,1.2,0.77,0.12,0.4,0.1082,0
spambot,12,6,4344,24.24,0.21,0.92,0.86,0.0026,1
active_human,1336,299,441,0.47,0.87,0.03,0.26,0.074,0
active_human,254,55,85,2.09,0.95,0.25,0.39,0.0513,0
compromised_bot,1998,1000,4259,10.16,0.51,0.94,0.64,0.0038,1
compromised_bot,1727,1150,6391,38.64,0.85,0.73,0.69,0.0073,1
active_human,400,107,159,1.21,0.86,0.14,0.33,0.0844,0
active_human,833,474,579,1.41,0.72,0.15,0.31,0.0856,0
follow_bot,21,74,6635,1.26,0.5,0.88,0.69,0.0013,1
spambot,4,20,5576,54.68,0.36,0.96,0.76,0.0,1
spambot,5,59,7325,20.12,0.32,0.79,0.9,0.0025,1
active_human,558,467,403,1.13,0.84,0.32,0.23,0.0687,0
compromised_bot,1314,1304,4884,37.89,0.55,0.76,0.63,0.0069,1
active_human,245,94,157,1.31,0.71,0.08,0.17,0.0707,0
active_human,431,92,163,0.61,0.81,0.07,0.11,0.023,0
creator_human,1289,4044,981,4.38,0.9,0.25,0.24,0.1322,0
active_human,619,551,447,2.28,0.75,0.03,0.1,0.0755,0
active_human,723,1120,1477,0.3,0.64,0.05,0.34,0.0277,0
spambot,12,78,6288,61.09,0.42,0.92,0.99,0.0024,1
active_human,850,248,361,1.63,0.85,0.16,0.33,0.1127,0
spambot,6,67,4638,37.45,0.34,0.83,0.78,0.0002,1
compromised_bot,1237,406,3793,28.29,0.77,0.69,0.87,0.0051,1
spambot,1,26,4926,59.21,0.38,0.88,0.83,0.0021,1
follow_bot,43,73,4967,1.15,0.43,0.9,0.7,0.0004,1
spambot,25,51,2882,22.98,0.22,0.71,0.78,0.0013,1
follow_bot,12,180,5594,0.31,0.36,0.98,0.44,0.0011,1
active_human,747,150,142,0.33,0.74,0.11,0.25,0.0774,0
follow_bot,47,119,5938,0.33,0.3,0.99,0.46,0.0019,1
lurker_human,378,138,142,0.07,0.53,0.04,0.07,0.036,0
active_human,910,526,607,1.87,0.92,0.08,0.18,0.0931,0
spambot,5,72,7068,54.69,0.11,0.9,0.81,0.0028,1
lurker_human,497,124,353,0.05,0.6,0.08,0.06,0.0189,0
creator_human,1025,23818,1029,4.47,0.89,0.07,0.15,0.079,0
creator_human,936,22249,441,1.33,0.9,0.14,0.25,0.0951,0
active_human,812,543,407,1.75,0.9,0.27,0.3,0.0359,0
spambot,18,55,6582,20.29,0.25,0.72,0.82,0.0027,1
creator_human,1604,3556,1006,3.59,0.92,0.06,0.27,0.0794,0
compromised_bot,1007,727,4823,20.38,0.77,0.92,0.83,0.0069,1
compromised_bot,1570,437,6817,13.33,0.64,0.93,0.73,0.0079,1
active_human,640,248,358,0.63,0.69,0.0,0.33,0.0515,0
active_human,431,211,282,1.02,0.66,0.17,0.21,0.0861,0
spambot,30,38,7218,36.5,0.13,0.81,0.75,0.0027,1
lurker_human,598,42,343,0.04,0.49,0.05,0.25,0.0293,0
active_human,449,848,987,0.37,0.76,0.12,0.15,0.0937,0
compromised_bot,2059,241,6731,33.7,0.57,0.84,0.64,0.001,1
compromised_bot,879,1154,5971,26.55,0.52,0.87,0.71,0.0026,1
compromised_bot,1540,954,7295,27.86,0.68,0.69,0.66,0.0039,1
lurker_human,316,78,131,0.15,0.41,0.07,0.23,0.0227,0
active_human,420,303,321,0.31,0.89,0.08,0.29,0.1137,0
active_human,151,248,335,1.27,0.87,0.19,0.37,0.04,0
active_human,405,572,804,1.14,0.62,0.08,0.15,0.1195,0
spambot,8,35,4829,30.87,0.36,0.91,0.87,0.0001,1
active_human,676,374,521,2.26,0.92,0.06,0.26,0.08,0
active_human,884,44,97,1.49,0.84,0.26,0.39,0.0466,0
active_human,450,198,251,1.57,0.9,0.1,0.34,0.0899,0
active_human,869,538,641,1.84,0.86,0.13,0.3,0.0913,0
compromised_bot,1065,340,5953,29.74,0.63,0.69,0.89,0.0042,1
creator_human,1186,13869,361,2.5,0.96,0.24,0.35,0.0806,0
compromised_bot,1797,615,3784,25.73,0.78,0.81,0.7,0.0033,1
follow_bot,45,37,5136,1.49,0.5,0.99,0.52,0.0003,1
lurker_human,240,79,307,0.14,0.41,0.12,0.27,0.0291,0
follow_bot,20,126,5859,1.06,0.21,0.93,0.65,0.002,1
compromised_bot,1035,598,4320,43.36,0.71,0.89,0.72,0.0032,1
lurker_human,517,28,62,0.02,0.45,0.02,0.15,0.0598,0
active_human,800,655,689,0.86,0.89,0.01,0.36,0.0362,0
active_human,172,487,642,2.02,0.81,0.13,0.31,0.06,0
lurker_human,811,74,312,0.14,0.73,0.03,0.05,0.0319,0
spambot,57,50,3445,44.03,0.11,0.93,0.79,0.0002,1
follow_bot,10,93,3493,0.65,0.21,0.88,0.78,0.0,1
lurker_human,222,96,249,0.05,0.64,0.09,0.11,0.0352,0
follow_bot,21,123,8497,0.91,0.39,0.98,0.66,0.0016,1
spambot,4,19,4819,24.98,0.3,0.89,0.99,0.0001,1
active_human,490,136,196,2.32,0.85,0.1,0.34,0.1013,0
active_human,513,227,197,1.43,0.68,0.08,0.36,0.1083,0
lurker_human,117,67,122,0.13,0.68,0.1,0.19,0.0114,0
active_human,614,718,585,0.76,0.88,0.09,0.11,0.0294,0
active_human,744,3206,2282,2.17,0.84,0.21,0.21,0.1073,0
active_human,627,393,437,0.71,0.72,0.1,0.23,0.0592,0
creator_human,684,9314,1011,2.18,0.95,0.17,0.25,0.1324,0
spambot,34,49,6656,19.9,0.44,0.74,0.83,0.001,1
active_human,478,180,166,0.52,0.83,0.03,0.37,0.077,0
active_human,1053,93,117,0.58,0.95,0.23,0.32,0.0749,0
active_human,580,957,1141,1.61,0.87,0.19,0.29,0.0718,0
spambot,23,31,6906,17.85,0.11,0.98,0.9,0.0021,1
active_human,751,199,157,1.51,0.68,0.02,0.36,0.0645,0
compromised_bot,2092,746,5985,44.25,0.83,0.77,0.78,0.0072,1
follow_bot,52,70,3993,0.29,0.4,0.96,0.79,0.0017,1
active_human,1107,545,653,1.49,0.9,0.05,0.32,0.1033,0
compromised_bot,910,1238,7870,15.75,0.52,0.75,0.74,0.008,1
lurker_human,1215,106,336,0.14,0.63,0.07,0.11,0.0436,0
compromised_bot,1091,534,5358,11.85,0.53,0.66,0.71,0.0062,1
active_human,213,455,580,1.25,0.66,0.02,0.32,0.0836,0
compromised_bot,2250,226,3588,30.61,0.57,0.69,0.72,0.0026,1
active_human,562,533,638,1.14,0.63,0.01,0.31,0.0572,0
follow_bot,33,145,3156,0.1,0.35,0.94,0.65,0.001,1
active_human,626,198,271,1.57,0.94,0.05,0.13,0.0703,0
lurker_human,965,144,296,0.02,0.41,0.06,0.23,0.0202,0
creator_human,1075,24493,113,3.02,0.9,0.18,0.26,0.0771,0
active_human,223,325,390,0.48,0.86,0.03,0.14,0.0253,0
spambot,17,21,5108,39.87,0.25,0.81,0.87,0.0016,1
spambot,19,59,4940,35.68,0.23,0.85,0.86,0.0027,1
spambot,35,29,6478,46.79,0.44,0.74,0.76,0.0017,1
compromised_bot,2189,531,4575,28.25,0.73,0.74,0.81,0.0078,1
follow_bot,15,170,7991,0.11,0.4,0.89,0.42,0.0018,1
active_human,418,181,242,1.1,0.72,0.01,0.12,0.1093,0
creator_human,2092,5172,565,3.12,0.97,0.2,0.19,0.1335,0
active_human,532,130,116,1.01,0.67,0.12,0.3,0.0326,0
follow_bot,54,25,4271,0.99,0.2,0.92,0.76,0.0014,1
active_human,704,283,306,2.1,0.97,0.13,0.37,0.1191,0
creator_human,1479,19649,414,1.55,0.86,0.05,0.21,0.0771,0
active_human,554,135,186,1.53,0.71,0.18,0.31,0.0315,0
active_human,469,626,815,0.61,0.58,0.16,0.19,0.047,0
compromised_bot,2434,724,5222,34.16,0.53,0.68,0.82,0.0029,1
creator_human,1104,23291,917,3.59,0.97,0.24,0.23,0.0705,0
active_human,396,112,93,1.03,0.84,0.04,0.12,0.0793,0
compromised_bot,2328,1303,5146,38.72,0.82,0.7,0.87,0.0018,1
active_human,368,314,368,1.52,0.99,0.01,0.4,0.0973,0
follow_bot,15,160,4694,0.83,0.28,0.95,0.76,0.0003,1
active_human,1152,456,564,2.07,0.67,0.15,0.37,0.0668,0
follow_bot,56,147,7508,1.35,0.37,0.97,0.49,0.0019,1
creator_human,1127,13149,761,1.55,1.0,0.15,0.16,0.1497,0
spambot,28,59,2171,20.27,0.28,0.92,0.9,0.0019,1
spambot,4,23,6505,18.49,0.17,0.92,0.97,0.0008,1
active_human,323,273,398,1.75,0.93,0.06,0.32,0.0586,0
active_human,462,75,121,0.34,0.71,0.1,0.32,0.0989,0
compromised_bot,2419,934,4776,41.34,0.82,0.94,0.83,0.0024,1
spambot,2,51,4371,20.79,0.43,0.79,0.92,0.0017,1
active_human,760,464,318,1.79,0.9,0.04,0.2,0.0672,0
active_human,567,120,147,1.91,0.46,0.02,0.37,0.0253,0
active_human,578,114,193,1.7,0.61,0.1,0.21,0.0896,0
compromised_bot,2295,861,6672,29.58,0.68,0.83,0.88,0.0077,1
follow_bot,13,157,7964,0.53,0.23,0.86,0.5,0.0004,1
spambot,6,76,4524,57.49,0.33,0.94,0.77,0.0019,1
active_human,158,307,288,0.74,0.92,0.06,0.38,0.0875,0
spambot,7,64,3926,37.71,0.38,0.83,0.95,0.003,1
active_human,293,185,142,0.28,0.74,0.18,0.19,0.0732,0
active_human,832,291,219,0.72,0.86,0.13,0.37,0.0836,0
lurker_human,854,34,388,0.13,0.59,0.08,0.07,0.0255,0
lurker_human,1082,133,72,0.09,0.62,0.02,0.05,0.0559,0
active_human,423,933,726,0.61,0.66,0.04,0.29,0.1127,0
active_human,355,374,376,0.76,0.66,0.04,0.23,0.0815,0
active_human,427,309,427,1.57,0.85,0.15,0.33,0.0861,0
active_human,560,312,361,0.84,0.69,0.15,0.28,0.0567,0
active_human,587,220,225,0.25,0.84,0.14,0.2,0.0703,0
active_human,509,468,602,1.05,0.79,0.14,0.2,0.0639,0
follow_bot,23,149,8420,0.76,0.2,0.9,0.73,0.0008,1
creator_human,1057,16110,100,1.51,0.85,0.24,0.32,0.0393,0
creator_human,895,5585,1050,3.89,0.91,0.1,0.35,0.0665,0
active_human,500,245,178,0.83,0.98,0.09,0.35,0.0513,0
creator_human,972,6889,369,4.09,0.97,0.07,0.19,0.1223,0
lurker_human,479,36,160,0.11,0.55,0.06,0.28,0.0388,0
spambot,9,32,7304,51.06,0.23,0.92,0.78,0.0011,1
lurker_human,194,101,238,0.04,0.67,0.07,0.15,0.0417,0
follow_bot,54,31,5788,0.67,0.39,0.98,0.64,0.0012,1
active_human,170,149,150,0.7,0.65,0.07,0.29,0.0347,0
lurker_human,953,131,115,0.07,0.71,0.11,0.21,0.0466,0
active_human,1182,497,675,0.66,0.88,0.02,0.13,0.1058,0
lurker_human,394,79,127,0.12,0.48,0.12,0.07,0.0134,0
creator_human,1723,12094,620,4.15,0.95,0.24,0.17,0.0349,0
compromised_bot,1103,1495,6597,40.8,0.59,0.66,0.76,0.0043,1
active_human,696,397,317,0.87,0.8,0.06,0.27,0.062,0
active_human,790,158,182,1.67,0.66,0.16,0.27,0.0609,0
spambot,8,61,2089,64.43,0.35,0.8,0.79,0.0018,1
active_human,185,164,129,1.84,0.84,0.05,0.17,0.0536,0
active_human,897,221,240,1.31,0.69,0.06,0.22,0.0433,0
follow_bot,53,40,6791,1.39,0.47,0.88,0.46,0.0005,1
active_human,672,167,236,2.29,0.97,0.19,0.16,0.0998,0
compromised_bot,816,523,5570,42.01,0.62,0.86,0.63,0.0041,1
lurker_human,326,28,283,0.09,0.71,0.1,0.06,0.0539,0
active_human,891,215,176,1.8,0.94,0.25,0.17,0.0368,0
spambot,12,30,3843,24.24,0.28,0.97,0.89,0.0016,1
spambot,2,72,3909,46.54,0.31,0.72,0.81,0.0012,1
active_human,628,109,163,0.83,0.99,0.09,0.39,0.0892,0
active_human,497,497,440,0.39,0.86,0.03,0.19,0.0742,0
compromised_bot,2279,975,6910,24.17,0.78,0.79,0.85,0.0034,1
compromised_bot,1094,844,7022,31.15,0.66,0.81,0.76,0.0022,1
spambot,13,72,2353,31.74,0.29,0.83,0.76,0.0008,1
active_human,412,761,1054,2.46,0.88,0.04,0.25,0.0362,0
creator_human,1481,17841,731,1.3,0.92,0.2,0.22,0.0583,0
compromised_bot,1152,423,5526,26.67,0.73,0.75,0.62,0.0038,1
compromised_bot,1895,632,4116,20.41,0.82,0.77,0.66,0.0048,1
spambot,1,47,3646,25.94,0.4,0.71,0.94,0.0018,1
active_human,959,776,882,1.06,0.62,0.25,0.13,0.0405,0
active_human,478,433,547,0.89,0.48,0.09,0.36,0.0736,0
compromised_bot,1220,1206,3548,24.2,0.62,0.75,0.83,0.0051,1
active_human,205,155,169,2.4,0.66,0.16,0.2,0.0961,0
compromised_bot,2175,745,6841,13.6,0.67,0.92,0.67,0.0065,1
spambot,4,54,6930,36.38,0.14,0.96,0.93,0.0011,1
active_human,361,998,952,2.23,0.85,0.03,0.17,0.1014,0
active_human,545,71,84,0.51,0.92,0.31,0.25,0.0305,0
active_human,609,906,889,0.71,0.79,0.06,0.29,0.0784,0
creator_human,1088,6055,154,3.24,0.97,0.2,0.31,0.1099,0
spambot,5,42,6112,39.52,0.39,0.93,0.77,0.0003,1
spambot,5,6,7132,22.23,0.24,0.73,0.82,0.0003,1
compromised_bot,1998,501,7651,31.94,0.68,0.94,0.81,0.0028,1
compromised_bot,909,781,4295,14.95,0.75,0.82,0.81,0.0039,1
active_human,277,98,108,1.64,0.96,0.0,0.2,0.0792,0
follow_bot,43,113,8641,0.77,0.52,0.86,0.48,0.0011,1
compromised_bot,1959,495,5117,23.96,0.79,0.67,0.66,0.0031,1
creator_human,900,19375,873,4.41,0.86,0.06,0.33,0.1377,0
active_human,913,172,169,2.14,0.85,0.03,0.4,0.12,0
follow_bot,46,184,8862,1.44,0.21,0.93,0.49,0.0011,1
lurker_human,1108,42,289,0.07,0.56,0.04,0.14,0.0399,0
creator_human,2691,3467,696,1.04,0.98,0.08,0.28,0.1231,0
creator_human,789,44899,494,1.25,1.0,0.22,0.24,0.11,0
spambot,4,41,4009,38.48,0.42,0.7,0.94,0.0002,1
lurker_human,695,82,377,0.07,0.62,0.12,0.16,0.038,0
creator_human,1656,5555,392,4.5,0.94,0.09,0.21,0.1041,0
active_human,305,596,625,0.98,0.7,0.1,0.15,0.1172,0
creator_human,1329,4489,1035,3.71,1.0,0.1,0.29,0.1414,0
spambot,18,53,6022,41.76,0.3,0.9,0.99,0.0001,1
active_human,589,195,225,1.25,0.88,0.03,0.32,0.0249,0
spambot,8,56,3332,50.42,0.28,0.94,0.81,0.0027,1
creator_human,1385,12805,939,2.09,0.9,0.14,0.26,0.127,0
active_human,654,371,275,0.75,0.91,0.1,0.13,0.0725,0
active_human,744,212,201,2.41,0.97,0.11,0.3,0.0512,0
active_human,559,260,278,0.9,0.9,0.17,0.15,0.0385,0
active_human,572,104,114,0.6,0.79,0.35,0.14,0.0952,0
creator_human,1399,6743,1003,3.22,0.94,0.18,0.16,0.0958,0
creator_human,951,7194,851,1.04,0.94,0.21,0.31,0.1235,0
active_human,284,89,99,2.06,0.91,0.21,0.34,0.0301,0
spambot,2,65,2613,62.39,0.39,0.85,0.96,0.003,1
creator_human,2062,24855,611,1.72,0.92,0.24,0.22,0.1465,0
creator_human,2599,8090,952,4.16,0.93,0.23,0.23,0.0577,0
active_human,544,1335,1560,0.32,0.71,0.01,0.4,0.1038,0
creator_human,1530,4904,772,3.11,0.93,0.08,0.19,0.0638,0
active_human,641,1561,2072,1.46,0.73,0.12,0.32,0.0846,0
compromised_bot,2118,397,7674,37.09,0.7,0.91,0.82,0.003,1
creator_human,1208,9729,884,3.93,0.97,0.08,0.28,0.0317,0
follow_bot,11,176,5631,0.45,0.58,0.95,0.78,0.0011,1
compromised_bot,2326,1076,6992,41.53,0.61,0.87,0.82,0.0011,1
active_human,575,106,110,1.6,0.9,0.37,0.18,0.0745,0
follow_bot,52,175,7345,0.77,0.23,0.96,0.61,0.001,1
active_human,466,502,629,0.79,0.9,0.19,0.36,0.0447,0
active_human,446,424,408,0.35,0.76,0.15,0.13,0.0918,0
follow_bot,9,55,5297,0.17,0.5,0.87,0.67,0.0016,1
spambot,46,49,6143,36.41,0.41,0.71,0.85,0.0008,1
active_human,192,143,184,2.23,0.94,0.25,0.24,0.0399,0
active_human,283,283,206,0.68,0.58,0.08,0.21,0.0705,0
creator_human,1129,3264,323,4.01,0.87,0.23,0.32,0.115,0
follow_bot,43,44,8461,0.46,0.38,0.89,0.45,0.0006,1
follow_bot,51,61,4075,1.42,0.31,0.95,0.47,0.0002,1
active_human,684,126,178,1.7,0.75,0.14,0.29,0.0384,0
creator_human,1290,13503,360,3.77,0.88,0.21,0.27,0.0418,0
follow_bot,54,23,3945,0.5,0.55,0.93,0.57,0.0011,1
spambot,18,30,4789,61.22,0.36,0.81,0.83,0.0016,1
follow_bot,29,77,5596,1.31,0.52,0.9,0.54,0.0001,1
active_human,528,295,360,2.11,0.79,0.11,0.12,0.0209,0
active_human,633,78,123,0.93,0.81,0.02,0.21,0.1084,0
spambot,4,23,5084,54.39,0.14,0.91,0.84,0.0017,1
active_human,419,336,369,1.84,0.9,0.03,0.29,0.068,0
active_human,580,349,256,2.09,0.94,0.06,0.28,0.0251,0
follow_bot,48,59,5395,0.75,0.55,0.97,0.56,0.0017,1
active_human,313,143,182,2.35,0.81,0.31,0.39,0.0966,0
active_human,788,376,384,1.12,0.81,0.08,0.19,0.0677,0
compromised_bot,2450,1100,6020,31.96,0.56,0.71,0.88,0.0027,1
active_human,496,281,194,1.36,0.92,0.11,0.29,0.0228,0
active_human,196,150,187,2.31,0.62,0.15,0.18,0.1036,0
compromised_bot,1235,412,4929,33.32,0.71,0.84,0.68,0.0027,1
follow_bot,32,181,3128,0.33,0.24,0.85,0.53,0.0003,1
active_human,329,139,115,1.13,0.77,0.22,0.19,0.0671,0
active_human,679,158,227,0.91,0.93,0.02,0.33,0.1054,0
lurker_human,1020,113,230,0.08,0.42,0.01,0.2,0.0252,0
spambot,34,71,4534,51.23,0.28,0.73,0.91,0.0018,1
lurker_human,534,120,229,0.06,0.54,0.04,0.22,0.0479,0
follow_bot,7,174,6821,0.99,0.58,0.91,0.8,0.0015,1
spambot,1,31,6535,41.42,0.11,0.79,0.98,0.0013,1
active_human,813,248,299,1.72,0.94,0.09,0.17,0.0542,0
spambot,14,35,2120,37.02,0.24,0.71,0.87,0.0004,1
follow_bot,11,56,3381,0.31,0.52,0.92,0.43,0.0014,1
active_human,1041,237,215,0.59,0.87,0.17,0.22,0.0546,0
active_human,212,101,90,1.47,0.82,0.28,0.37,0.0882,0
spambot,64,54,2959,26.95,0.32,0.93,0.98,0.0014,1
spambot,38,63,6738,20.85,0.14,0.75,0.77,0.0019,1
lurker_human,820,31,340,0.04,0.55,0.07,0.2,0.0246,0
compromised_bot,2016,820,5128,25.2,0.75,0.85,0.71,0.0039,1
active_human,471,70,107,1.06,0.89,0.15,0.39,0.0906,0
creator_human,1165,8978,819,3.8,0.92,0.15,0.34,0.0641,0
spambot,13,51,2370,35.89,0.2,0.85,0.84,0.0007,1
follow_bot,40,45,6887,1.05,0.59,0.99,0.68,0.001,1
active_human,1043,58,75,0.49,0.79,0.01,0.2,0.039,0
spambot,10,78,2479,45.23,0.16,0.95,0.86,0.0011,1
active_human,1258,186,235,0.9,0.75,0.06,0.2,0.1092,0
creator_human,550,18315,958,2.15,0.97,0.08,0.24,0.1406,0
compromised_bot,1871,936,4865,19.43,0.8,0.83,0.78,0.0053,1
spambot,6,33,4203,21.45,0.35,0.72,0.84,0.0002,1
lurker_human,285,27,221,0.12,0.72,0.12,0.27,0.0259,0
compromised_bot,1413,888,4397,37.06,0.66,0.71,0.61,0.0049,1
active_human,695,58,65,0.5,0.54,0.07,0.21,0.079,0
spambot,2,9,7081,28.81,0.32,0.88,0.97,0.0012,1
lurker_human,1211,49,333,0.02,0.5,0.02,0.29,0.0412,0
active_human,458,121,145,2.3,0.56,0.13,0.15,0.113,0
active_human,624,286,400,2.22,0.94,0.02,0.18,0.043,0
spambot,2,20,2220,37.12,0.4,0.87,0.75,0.0016,1
spambot,1,65,7406,37.56,0.43,0.83,0.93,0.0009,1
spambot,6,27,4321,38.97,0.42,0.71,0.8,0.0021,1
creator_human,868,4924,124,2.23,0.97,0.22,0.22,0.0931,0
active_human,178,102,164,1.66,0.72,0.1,0.27,0.1021,0
follow_bot,36,36,6644,0.16,0.45,0.95,0.44,0.0001,1
spambot,8,66,6432,57.46,0.31,0.75,0.75,0.0021,1
creator_human,1841,22542,699,3.51,0.9,0.21,0.21,0.0604,0
lurker_human,426,147,340,0.12,0.57,0.09,0.27,0.0296,0
active_human,1234,299,383,1.93,0.8,0.04,0.2,0.1041,0
active_human,515,121,150,2.42,0.78,0.07,0.29,0.0281,0
active_human,443,430,297,0.6,0.87,0.24,0.14,0.064,0
active_human,822,165,183,1.24,0.63,0.16,0.25,0.051,0
compromised_bot,1865,1399,4776,18.2,0.55,0.76,0.8,0.0062,1
follow_bot,37,72,3046,1.46,0.21,0.99,0.73,0.0018,1
active_human,681,89,108,1.32,0.94,0.03,0.17,0.0501,0
active_human,783,1225,1266,1.93,0.86,0.16,0.23,0.0415,0
lurker_human,530,101,369,0.1,0.57,0.04,0.18,0.0358,0
active_human,589,429,501,1.61,0.83,0.15,0.17,0.109,0
follow_bot,51,65,4063,0.21,0.25,0.93,0.46,0.0006,1
creator_human,1496,3792,445,3.27,0.93,0.2,0.32,0.1024,0
follow_bot,29,87,6699,1.04,0.52,0.94,0.42,0.0009,1
active_human,923,638,535,2.28,0.77,0.05,0.39,0.0525,0
lurker_human,653,64,65,0.06,0.62,0.08,0.25,0.0191,0
active_human,342,565,529,0.73,0.74,0.04,0.27,0.0793,0
follow_bot,36,49,5540,0.84,0.43,1.0,0.8,0.0008,1
creator_human,1034,17038,1100,3.29,0.89,0.21,0.24,0.0444,0
compromised_bot,913,1423,7620,27.55,0.78,0.87,0.61,0.0054,1
lurker_human,560,120,177,0.09,0.71,0.09,0.19,0.0477,0
active_human,442,90,120,2.38,0.85,0.16,0.23,0.0879,0
active_human,171,571,616,0.71,0.79,0.15,0.35,0.1199,0
creator_human,2072,85534,973,3.4,0.94,0.13,0.32,0.0852,0
active_human,549,123,91,0.42,0.67,0.1,0.32,0.0334,0
active_human,721,1341,1065,1.37,0.57,0.06,0.4,0.0353,0
active_human,382,144,204,1.77,0.73,0.08,0.18,0.0764,0
lurker_human,143,110,98,0.12,0.71,0.03,0.26,0.0227,0
lurker_human,479,43,287,0.11,0.59,0.11,0.24,0.0158,0
creator_human,2011,8888,332,1.49,0.91,0.18,0.22,0.0996,0
creator_human,1677,157086,679,1.87,0.88,0.16,0.33,0.1395,0
active_human,500,204,182,0.35,0.88,0.25,0.26,0.0925,0
spambot,2,33,5123,23.47,0.1,0.94,0.91,0.0003,1
spambot,15,42,1760,22.8,0.19,0.95,0.98,0.0028,1
active_human,1538,269,384,1.66,0.82,0.08,0.26,0.0635,0
lurker_human,787,89,203,0.14,0.57,0.06,0.24,0.0454,0
active_human,488,149,173,1.75,0.64,0.03,0.16,0.087,0
creator_human,1424,10303,927,3.4,0.99,0.16,0.25,0.0649,0
active_human,1126,91,107,1.27,0.93,0.07,0.32,0.0351,0
compromised_bot,1272,1360,6022,12.41,0.72,0.74,0.63,0.0023,1
follow_bot,59,188,4716,0.37,0.26,0.88,0.6,0.0005,1
active_human,326,93,136,0.44,0.7,0.03,0.19,0.0463,0
active_human,800,265,404,1.52,0.83,0.02,0.13,0.0895,0
spambot,76,22,5377,40.74,0.4,0.98,0.94,0.0018,1
active_human,866,531,390,2.24,0.8,0.11,0.28,0.0749,0
lurker_human,427,104,371,0.05,0.48,0.08,0.28,0.0274,0
active_human,353,126,157,2.27,0.86,0.13,0.3,0.0266,0
follow_bot,39,90,6665,0.91,0.33,0.96,0.5,0.0016,1
active_human,468,523,443,0.7,0.9,0.01,0.16,0.0484,0
active_human,288,95,139,0.67,0.91,0.13,0.19,0.0598,0
follow_bot,14,130,8575,1.17,0.49,0.97,0.76,0.0002,1
active_human,372,456,441,0.99,0.8,0.1,0.29,0.0619,0
lurker_human,493,149,398,0.14,0.75,0.07,0.12,0.0495,0
active_human,731,187,166,0.5,0.96,0.11,0.31,0.0772,0
spambot,23,58,3716,18.76,0.36,0.92,0.89,0.0003,1
follow_bot,25,82,5240,1.09,0.54,0.93,0.53,0.001,1
lurker_human,475,84,103,0.11,0.48,0.07,0.22,0.017,0
active_human,583,492,372,0.73,0.89,0.06,0.31,0.1071,0
creator_human,1024,2076,923,3.21,0.88,0.18,0.33,0.0306,0
spambot,16,61,1802,26.23,0.19,0.73,0.88,0.0015,1
active_human,645,188,238,1.11,0.82,0.04,0.36,0.1152,0
active_human,1466,371,450,1.03,0.86,0.08,0.35,0.0453,0
active_human,248,288,283,0.67,0.78,0.13,0.22,0.0448,0
active_human,914,146,154,1.37,0.7,0.21,0.38,0.0823,0
follow_bot,50,111,3104,1.18,0.31,0.96,0.71,0.0017,1
active_human,273,579,582,0.95,0.8,0.22,0.38,0.0418,0
compromised_bot,1321,239,4413,35.5,0.71,0.67,0.79,0.0043,1
compromised_bot,1081,954,6622,35.58,0.58,0.92,0.75,0.0058,1
